[Panel Mapper]
Version = "ASTP"
Date = "2020/12/15 ¤W¤È 09:12:47"

[Measurement Information]
Scan Start Time = "3690779116.0"
Scan Completion Time = "3690786928.8"
Recipe No = "0"
Manual Measurement = "TRUE"
GlassID = ""
Operator ID = ""
Scan Start Time String = "2020/12/14 ¤U¤È 04:25:15"
Scan Completion Time String = "2020/12/14 ¤U¤È 06:35:28"[LCD Data]
x (um),y (um),Cell Gap (um),PSG Rubbing Direction (°),PSA Rubbing Direction (°),Twist (°),PSG Pre-Tilt(°),PSA Pre-Tilt(°),RMS%Error,# of iterations
0.000000,0.000000,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,5.359275,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,10.718551,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,16.077826,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,21.437101,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,26.796377,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,32.155652,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,37.514927,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,42.874203,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,48.233478,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,53.592753,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,58.952029,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,64.311304,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,69.670579,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,75.029855,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,80.389130,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,85.748405,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,91.107681,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
